"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2048229","Dennis  Mancl and Steven D. Fraser and Bill  Opdyke","","","","Workshop: Beyond Green-field Software Development: Reuse, Recycle, Refactor","321--322","","2","legacy code, reengineering, refactoring","10.1145/2048147.2048229","","","","","","","2011","","Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion","OOPSLA '11","","978-1-4503-0942-4","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","2487308","Brandon Kyle Phillips and Sherry  Ryan and Gina  Harden and C. S. Guynes and John  Windsor","","","","Motivating Students to Acquire Mainframe Skills","73--78","","6","legacy systems, mainframes, motivation","10.1145/2487294.2487308","","","","","","","2013","","Proceedings of the 2013 Annual Conference on Computers and People Research","SIGMIS-CPR '13","","978-1-4503-1975-1","Cincinnati, Ohio, USA","ACM","New York, NY, USA"
"article","1411742","Alexander  Yermolovich and Andreas  Gal and Michael  Franz","","","","Portable Execution of Legacy Binaries on the Java Virtual Machine","63--72","","10","legacy software, system emulation","10.1145/1411732.1411742","","","","","","","2008","","Proceedings of the 6th International Symposium on Principles and Practice of Programming in Java","PPPJ '08","","978-1-60558-223-8","Modena, Italy","ACM","New York, NY, USA"
"article","1810306","Mickael  Clavreul and Olivier  Barais and Jean-Marc  J&#233;z&#233;quel","","","","Integrating Legacy Systems with MDE","69--78","","10","MDE, aspects, legacy systems, models","10.1145/1810295.1810306","","","","","","","2010","","Proceedings of the 32Nd ACM/IEEE International Conference on Software Engineering - Volume 2","ICSE '10","","978-1-60558-719-6","Cape Town, South Africa","ACM","New York, NY, USA"
"article","2095067","Caitlin  Sadowski and Jaeheon  Yi","","","","Workshop on Transitioning to Multicore (TMC 2011): Overview Abstract","97--100","","4","legacy programs, systems, tools, usability","10.1145/2095050.2095067","","","","","","","2011","","Proceedings of the Compilation of the Co-located Workshops on DSM'11, TMC'11, AGERE! 2011, AOOPES'11, NEAT'11, & VMIL'11","SPLASH '11 Workshops","","978-1-4503-1183-0","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","1986009","Yinxing  Xue","","","","Reengineering Legacy Software Products into Software Product Line Based on Automatic Variability Analysis","1114--1117","","4","legacy software, spl, variability analysis","10.1145/1985793.1986009","","","","","","","2011","","Proceedings of the 33rd International Conference on Software Engineering","ICSE '11","","978-1-4503-0445-0","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","2048230","Caitlin  Sadowski and Jaeheon  Yi","","","","Workshop on Transitioning to Multicore: (TMC 2011)","323--324","","2","legacy programs, systems, tools, usability","10.1145/2048147.2048230","","","","","","","2011","","Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion","OOPSLA '11","","978-1-4503-0942-4","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","2568318","Ravi  Khadka and Belfrit V.  Batlajery and Amir M.  Saeidi and Slinger  Jansen and Jurriaan  Hage","","","","How Do Professionals Perceive Legacy Systems and Software Modernization?","36--47","","12","Empirical Studies, Grounded Theory, Legacy Modernization, Legacy Systems","10.1145/2568225.2568318","","","","","","","2014","","Proceedings of the 36th International Conference on Software Engineering","ICSE 2014","","978-1-4503-2756-5","Hyderabad, India","ACM","New York, NY, USA"
"article","2442762","Sastry  K V S N and Ambadas  Choudhari","","","","Legacy Mainframe Back-ends Supporting New Age Enterprise Applications: Can the Elephant Run with Deers?","55--60","","6","SOA, collaboration, legacy modernization, mainframes","10.1145/2442754.2442762","","","","","","","2013","","Proceedings of the 6th India Software Engineering Conference","ISEC '13","","978-1-4503-1987-4","New Delhi, India","ACM","New York, NY, USA"
"article","1233353","Chia-Chu  Chiang","","","","Automated Software Wrapping","59--64","","6","CORBA, legacy integration, middleware, software wrapping","10.1145/1233341.1233353","","","","","","","2007","","Proceedings of the 45th Annual Southeast Regional Conference","ACM-SE 45","","978-1-59593-629-5","Winston-Salem, North Carolina","ACM","New York, NY, USA"
"article","947500","Jeff  Whisler","","","","Integrating WebCT with Diverse Campus Systems","114--115","","2","CAS, LDAP, MySQL, SIS, administration, integration, legacy","10.1145/947469.947500","","","","","","","2003","","Proceedings of the 31st  Annual ACM SIGUCCS Fall Conference","SIGUCCS '03","","1-58113-665-X","San Antonio, TX, USA","ACM","New York, NY, USA"
"article","604260","Tom  Dickens","","","","Migrating Legacy Engineering Applications to Java","1--ff","","","C, FORTRAN, Java, conversion, legacy, portability","10.1145/604251.604260","","","","","","","2002","","OOPSLA 2002 Practitioners Reports","OOPSLA '02","","1-58113-471-1","Seattle, Washington","ACM","New York, NY, USA"
